code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
199707;Jul.97;;July 1997;;;;;;
199708;Aug.97;;Aug.97;;;;;;
199709;Sep.97;;Sep.97;;;;;;
199710;Okt.97;;Oct. 1997;;;;;;
199711;Nov.97;;Nov.97;;;;;;
199712;Dez.97;;Dec. 1997;;;;;;
199801;Jän.98;;Jan. 1998;;;;;;
199802;Feb.98;;Feb.98;;;;;;
199803;Mär.98;;Mar. 1998;;;;;;
199804;Apr.98;;Apr.98;;;;;;
199805;Mai.98;;May 1998;;;;;;
199806;Jun.98;;June 1998;;;;;;
199807;Jul.98;;July 1998;;;;;;
199808;Aug.98;;Aug.98;;;;;;
199809;Sep.98;;Sep.98;;;;;;
199810;Okt.98;;Oct. 1998;;;;;;
199811;Nov.98;;Nov.98;;;;;;
199812;Dez.98;;Dec. 1998;;;;;;
199901;Jän.99;;Jan. 1999;;;;;;
199902;Feb.99;;Feb.99;;;;;;
199903;Mär.99;;Mar. 1999;;;;;;
199904;Apr.99;;Apr.99;;;;;;
199905;Mai.99;;May 1999;;;;;;
199906;Jun.99;;June 1999;;;;;;
199907;Jul.99;;July 1999;;;;;;
199908;Aug.99;;Aug.99;;;;;;
199909;Sep.99;;Sep.99;;;;;;
199910;Okt.99;;Oct. 1999;;;;;;
199911;Nov.99;;Nov.99;;;;;;
199912;Dez.99;;Dec. 1999;;;;;;
200001;Jän.00;;Jan. 2000;;;;;;
200002;Feb.00;;Feb.00;;;;;;
200003;Mär.00;;Mar. 2000;;;;;;
200004;Apr.00;;Apr.00;;;;;;
200005;Mai.00;;May 2000;;;;;;
200006;Jun.00;;June 2000;;;;;;
200007;Jul.00;;July 2000;;;;;;
200008;Aug.00;;Aug.00;;;;;;
200009;Sep.00;;Sep.00;;;;;;
200010;Okt.00;;Oct. 2000;;;;;;
200011;Nov.00;;Nov.00;;;;;;
200012;Dez.00;;Dec. 2000;;;;;;
200101;Jän.01;;Jan. 2001;;;;;;
200102;Feb.01;;Feb.01;;;;;;
200103;Mär.01;;Mar. 2001;;;;;;
200104;Apr.01;;Apr.01;;;;;;
200105;Mai.01;;May 2001;;;;;;
200106;Jun.01;;June 2001;;;;;;
200107;Jul.01;;July 2001;;;;;;
200108;Aug.01;;Aug.01;;;;;;
200109;Sep.01;;Sep.01;;;;;;
200110;Okt.01;;Oct. 2001;;;;;;
200111;Nov.01;;Nov.01;;;;;;
200112;Dez.01;;Dec. 2001;;;;;;
200201;Jän.02;;Jan. 2002;;;;;;
200202;Feb.02;;Feb.02;;;;;;
200203;Mär.02;;Mar. 2002;;;;;;
200204;Apr.02;;Apr.02;;;;;;
200205;Mai.02;;May 2002;;;;;;
200206;Jun.02;;June 2002;;;;;;
200207;Jul.02;;July 2002;;;;;;
200208;Aug.02;;Aug.02;;;;;;
200209;Sep.02;;Sep.02;;;;;;
200210;Okt.02;;Oct. 2002;;;;;;
200211;Nov.02;;Nov.02;;;;;;
200212;Dez.02;;Dec. 2002;;;;;;
200301;Jän.03;;Jan. 2003;;;;;;
200302;Feb.03;;Feb.03;;;;;;
200303;Mär.03;;Mar. 2003;;;;;;
200304;Apr.03;;Apr.03;;;;;;
200305;Mai.03;;May 2003;;;;;;
200306;Jun.03;;June 2003;;;;;;
200307;Jul.03;;July 2003;;;;;;
200308;Aug.03;;Aug.03;;;;;;
200309;Sep.03;;Sep.03;;;;;;
200310;Okt.03;;Oct. 2003;;;;;;
200311;Nov.03;;Nov.03;;;;;;
200312;Dez.03;;Dec. 2003;;;;;;
200401;Jän.04;;Jan. 2004;;;;;;
200402;Feb.04;;Feb.04;;;;;;
200403;Mär.04;;Mar. 2004;;;;;;
200404;Apr.04;;Apr.04;;;;;;
200405;Mai.04;;May 2004;;;;;;
200406;Jun.04;;June 2004;;;;;;
200407;Jul.04;;July 2004;;;;;;
200408;Aug.04;;Aug.04;;;;;;
200409;Sep.04;;Sep.04;;;;;;
200410;Okt.04;;Oct. 2004;;;;;;
200411;Nov.04;;Nov.04;;;;;;
200412;Dez.04;;Dec. 2004;;;;;;
200501;Jän.05;;Jan. 2005;;;;;;
200502;Feb.05;;Feb.05;;;;;;
200503;Mär.05;;Mar. 2005;;;;;;
200504;Apr.05;;Apr.05;;;;;;
200505;Mai.05;;May 2005;;;;;;
200506;Jun.05;;June 2005;;;;;;
200507;Jul.05;;July 2005;;;;;;
200508;Aug.05;;Aug.05;;;;;;
200509;Sep.05;;Sep.05;;;;;;
200510;Okt.05;;Oct. 2005;;;;;;
200511;Nov.05;;Nov.05;;;;;;
200512;Dez.05;;Dec. 2005;;;;;;
200601;Jän.06;;Jan. 2006;;;;;;
200602;Feb.06;;Feb.06;;;;;;
200603;Mär.06;;Mar. 2006;;;;;;
200604;Apr.06;;Apr.06;;;;;;
200605;Mai.06;;May 2006;;;;;;
200606;Jun.06;;June 2006;;;;;;
200607;Jul.06;;July 2006;;;;;;
200608;Aug.06;;Aug.06;;;;;;
200609;Sep.06;;Sep.06;;;;;;
200610;Okt.06;;Oct. 2006;;;;;;
200611;Nov.06;;Nov.06;;;;;;
200612;Dez.06;;Dec. 2006;;;;;;
200701;Jän.07;;Jan. 2007;;;;;;
200702;Feb.07;;Feb.07;;;;;;
200703;Mär.07;;Mar. 2007;;;;;;
200704;Apr.07;;Apr.07;;;;;;
200705;Mai.07;;May 2007;;;;;;
200706;Jun.07;;June 2007;;;;;;
200707;Jul.07;;July 2007;;;;;;
200708;Aug.07;;Aug.07;;;;;;
200709;Sep.07;;Sep.07;;;;;;
200710;Okt.07;;Oct. 2007;;;;;;
200711;Nov.07;;Nov.07;;;;;;
200712;Dez.07;;Dec. 2007;;;;;;
200801;Jän.08;;Jan. 2008;;;;;;
200802;Feb.08;;Feb.08;;;;;;
200803;Mär.08;;Mar. 2008;;;;;;
200804;Apr.08;;Apr.08;;;;;;
200805;Mai.08;;May 2008;;;;;;
200806;Jun.08;;June 2008;;;;;;
200807;Jul.08;;July 2008;;;;;;
200808;Aug.08;;Aug.08;;;;;;
200809;Sep.08;;Sep.08;;;;;;
200810;Okt.08;;Oct. 2008;;;;;;
200811;Nov.08;;Nov.08;;;;;;
200812;Dez.08;;Dec. 2008;;;;;;
200901;Jän.09;;Jan. 2009;;;;;;
200902;Feb.09;;Feb.09;;;;;;
200903;Mär.09;;Mar. 2009;;;;;;
200904;Apr.09;;Apr.09;;;;;;
200905;Mai.09;;May 2009;;;;;;
200906;Jun.09;;June 2009;;;;;;
200907;Jul.09;;July 2009;;;;;;
200908;Aug.09;;Aug.09;;;;;;
200909;Sep.09;;Sep.09;;;;;;
200910;Okt.09;;Oct. 2009;;;;;;
200911;Nov.09;;Nov.09;;;;;;
200912;Dez.09;;Dec. 2009;;;;;;
201001;Jän.10;;Jan. 2010;;;;;;
201002;Feb.10;;Feb.10;;;;;;
201003;Mär.10;;Mar. 2010;;;;;;
201004;Apr.10;;Apr.10;;;;;;
201005;Mai.10;;May 2010;;;;;;
201006;Jun.10;;June 2010;;;;;;
201007;Jul.10;;July 2010;;;;;;
201008;Aug.10;;Aug.10;;;;;;
201009;Sep.10;;Sep.10;;;;;;
201010;Okt.10;;Oct. 2010;;;;;;
201011;Nov.10;;Nov.10;;;;;;
201012;Dez.10;;Dec. 2010;;;;;;
201101;Jän.11;;Jan. 2011;;;;;;
201102;Feb.11;;Feb.11;;;;;;
201103;Mär.11;;Mar. 2011;;;;;;
201104;Apr.11;;Apr.11;;;;;;
201105;Mai.11;;May 2011;;;;;;
201106;Jun.11;;June 2011;;;;;;
201107;Jul.11;;July 2011;;;;;;
201108;Aug.11;;Aug.11;;;;;;
201109;Sep.11;;Sep.11;;;;;;
201110;Okt.11;;Oct. 2011;;;;;;
201111;Nov.11;;Nov.11;;;;;;
201112;Dez.11;;Dec. 2011;;;;;;
201201;Jän.12;;Jan. 2012;;;;;;
201202;Feb.12;;Feb.12;;;;;;
201203;Mär.12;;Mar. 2012;;;;;;
201204;Apr.12;;Apr.12;;;;;;
201205;Mai.12;;May 2012;;;;;;
201206;Jun.12;;June 2012;;;;;;
201207;Jul.12;;July 2012;;;;;;
201208;Aug.12;;Aug.12;;;;;;
201209;Sep.12;;Sep.12;;;;;;
201210;Okt.12;;Oct. 2012;;;;;;
201211;Nov.12;;Nov.12;;;;;;
201212;Dez.12;;Dec. 2012;;;;;;
201301;Jän.13;;Jan. 2013;;;;;;
201302;Feb.13;;Feb.13;;;;;;
201303;Mär.13;;Mar. 2013;;;;;;
201304;Apr.13;;Apr.13;;;;;;
201305;Mai.13;;May 2013;;;;;;
201306;Jun.13;;June 2013;;;;;;
201307;Jul.13;;July 2013;;;;;;
201308;Aug.13;;Aug.13;;;;;;
201309;Sep.13;;Sep.13;;;;;;
201310;Okt.13;;Oct. 2013;;;;;;
201311;Nov.13;;Nov.13;;;;;;
201312;Dez.13;;Dec. 2013;;;;;;
201401;Jän.14;;Jan. 2014;;;;;;
201402;Feb.14;;Feb.14;;;;;;
201403;Mär.14;;Mar. 2014;;;;;;
201404;Apr.14;;Apr.14;;;;;;
201405;Mai 14;;May 14;;;;;;
201406;Jun.14;;June 14;;;;;;
201407;Jul.14;;July 14;;;;;;
201408;Aug.14;;Aug. 14;;;;;;
201409;Sep.14;;Sep. 14;;;;;;
201410;Okt.14;;Oct. 14;;;;;;
201411;Nov.14;;Nov. 14;;;;;;
